SKU,DESCRIPCION,GRUPO,FAMILIA,SUBFAMILIA,TIPO
P0204007604,PIZARRA MULTICOLOR  40 X 20 X 1 CM NATURAL,PIEDRAS NATURALES,LOZAS,PIZARRAS,PIZARRA MULTICOLOR
P0204007704,PIZARRA NEGRA 80 X 40 1.5cm,PIEDRAS NATURALES,LOZAS,PIZARRAS,PIZARRA NEGRA
P0204007705,PIZARRA NEGRA 120 X 63 2cm,PIEDRAS NATURALES,LOZAS,PIZARRAS,PIZARRA NEGRA
P0204007716,PIZARRA NEGRA 60 X 120 X 2CM,PIEDRAS NATURALES,LOZAS,PIZARRAS,PIZARRA NEGRA
P0204007826,PIZARRA NEGRA 40 X 40 X 0.7-1.0 CM NATURAL,PIEDRAS NATURALES,LOZAS,PIZARRAS,PIZARRA NEGRA
P0205000503,PIZARRA NEGRA 30 X 30 X 1cm,PIEDRAS NATURALES,LOZAS,PIZARRAS,PIZARRA NEGRA
P0205000504,PIZARRA NEGRA PLACA 2CM,PIEDRAS NATURALES,PLACAS BASICAS,PIZARRAS,PIZARRA NEGRA
P0204000505,PIZARRA NEGRA 40 X 40 1 CM NATURAL,PIEDRAS NATURALES,LOZAS,PIZARRAS,PIZARRA NEGRA
P0411042315,PIZARRA NEGRA 60 X 30 1cm,PIEDRAS NATURALES,LOZAS,PIZARRAS,PIZARRA NEGRA
P0204007801,SILVER GRAY  30.5 X 30.5 X 1.0cm  ESTÁNDAR  MATE,PIEDRAS NATURALES,LOZAS,PIZARRAS,PIZARRA SILVER GRAY
P0201042734,MARMOL NUEVO BLANCO KARIBIB 60 X 60 X 1.5 CM PULIDO,PIEDRAS NATURALES,LOZAS,MARMOLES,MARMOL BLANCO KARIBIB
P0101008001,MARMOL NUEVO BLANCO KARIBIB PULIDO PLACA X 2.0cm,PIEDRAS NATURALES,PLACAS BASICAS,MARMOLES,MARMOL BLANCO KARIBIB
P0220027115,PIZARRA COPPER 61 X 61 X 2 CM,PIEDRAS NATURALES,LOZAS,PIZARRAS,PIZARRA COPPER
P0204008101,COPPER  30.5 X 30.5 X 1.0cm  ESTÁNDAR  MATE,PIEDRAS NATURALES,LOZAS,PIZARRAS,PIZARRA COPPER
P0204008201,PIEDRA NEGRA  30.5 X 30.5 X 1.0cm  ESTÁNDAR  AL CORTE,PIEDRAS NATURALES,LOZAS,PIZARRAS,PIZARRA PIEDRA NEGRA
P0201008301,TRAVERTINO CHOCOLATE  40.6 X 40.6 X 1.0cm  SELECTO/A  MATE,PIEDRAS NATURALES,LOZAS,TRAVERTINOS,TRAVERTINO CHOCOLATE
P0201008302,TRAVERTINO CHOCOLATE  40.6 X 40.6 X 1.0cm  SELECTO/A  BRILLANTE,PIEDRAS NATURALES,LOZAS,TRAVERTINOS,TRAVERTINO CHOCOLATE
P0201008303,TRAVERTINO CHOCOLATE  40.6 X 40.6 X 1.0cm  SELECTO/A  ENVEJECIDO,PIEDRAS NATURALES,LOZAS,TRAVERTINOS,TRAVERTINO CHOCOLATE
P0201008304,TRAVERTINO CHOCOLATE  30.5 X 30.5 X 1.0cm  SELECTO/A  MATE,PIEDRAS NATURALES,LOZAS,TRAVERTINOS,TRAVERTINO CHOCOLATE
P0201008305,TRAVERTINO CHOCOLATE  30.5 X 30.5 X 1.0cm  SELECTO/A  BRILLANTE,PIEDRAS NATURALES,LOZAS,TRAVERTINOS,TRAVERTINO CHOCOLATE
P0201008306,TRAVERTINO CHOCOLATE  30.5 X 30.5 X 1.0cm  SELECTO/A  ENVEJECIDO,PIEDRAS NATURALES,LOZAS,TRAVERTINOS,TRAVERTINO CHOCOLATE
P0201008313,TRAVERTINO CHOCOLATE  1.50 X 40 X 2cm  CEPILLADO,PIEDRAS NATURALES,LOZAS,TRAVERTINOS,TRAVERTINO CHOCOLATE
P0101008301,TRAVERTINO CHOCOLATE  PLACA X 2.0cm  SELECTO/A  BRILLADO,PIEDRAS NATURALES,PLACAS BASICAS,TRAVERTINOS,TRAVERTINO CHOCOLATE
P0101008302,TRAVERTINO CHOCOLATE  PLACA X 2.0cm  SELECTO/A  MATE,PIEDRAS NATURALES,PLACAS BASICAS,TRAVERTINOS,TRAVERTINO CHOCOLATE
P0102008401,GRANITO VERDE CASCADA PLACA X 2.0cm,PIEDRAS NATURALES,PLACAS BASICAS,GRANITOS,GRANITO VERDE CASCADA
P0102008601,GRANITO TITANIUM (ANTOLINI) PLACA X 2.0cm PULIDO,PIEDRAS NATURALES,PLACAS EXOTICAS,GRANITOS,GRANITO TITANIUM
P0102008602,GRANITO TITANIUM (ANTOLINI) PLACA X 2.0cm LEATHER,PIEDRAS NATURALES,PLACAS EXOTICAS,GRANITOS,GRANITO TITANIUM
